,id,score
10000,2547,44.5
9999,1025,44.52
9998,1098,44.93
9997,159,45.31
9996,880,45.330000000000005
9995,694,45.45
9994,3517,45.470000000000006
9993,1306,45.74
9992,854,45.88
9991,1785,46.08
9990,3403,46.1
9989,1387,46.33
9988,785,46.35
9987,146,46.39
9986,3070,46.39
9985,95,46.410000000000004
9984,291,46.410000000000004
9983,1343,46.51
9982,1524,46.76
9981,2511,46.82
9980,2522,46.82
9979,2128,47.019999999999996
9978,1852,47.04
9977,700,47.449999999999996
9976,2939,47.58
9975,508,47.6
9974,1301,47.86
9973,3572,47.88
9972,531,48.01
9971,4170,48.29
9970,1215,48.34
9969,1440,48.36000000000001
9968,419,48.59
9967,373,48.77
9966,2115,48.80000000000001
9965,1855,49.150000000000006
9964,1713,49.400000000000006
9963,984,49.540000000000006
9962,4306,49.610000000000014
9961,341,49.750000000000014
9960,2821,49.96000000000001
9959,2850,50.10000000000001
9958,3541,50.480000000000004
9957,1141,50.480000000000004
9956,1248,50.69000000000001
9955,3632,50.69000000000001
9954,2191,50.96
9953,797,50.980000000000004
9952,378,50.980000000000004
9951,2563,51.040000000000006
9950,3920,51.040000000000006
9949,4489,51.11
9948,1735,51.32000000000001
9947,5371,51.39
9946,1040,51.67
9945,547,51.67
9944,1360,51.77
9943,1286,51.790000000000006
9942,4429,51.88000000000001
9941,229,51.910000000000004
9940,3497,51.93000000000001
9939,1205,51.95
9938,1065,52.16000000000001
9937,3868,52.2
9936,1960,52.2
9935,119,52.220000000000006
9934,4085,52.230000000000004
9933,1281,52.34
9932,2775,52.43000000000001
9931,1332,52.510000000000005
9930,5309,52.56
9929,1145,52.63
9928,3367,52.640000000000015
9927,235,52.79
9926,1904,52.81
9925,1384,52.85
9924,122,52.85
9923,820,52.870000000000005
9922,6692,52.870000000000005
9921,5470,52.97
9920,3059,52.99000000000001
9919,5227,53.22
9918,1482,53.28
9917,9705,53.28
9916,882,53.48
9915,6456,53.5
9914,2933,53.54
9913,8476,53.940000000000005
9912,1540,54.06
9911,432,54.080000000000005
9910,9551,54.32
9909,5012,54.34
9908,3580,54.47
9907,5244,54.49
9906,4135,54.75
9905,2070,54.800000000000004
9904,1533,54.82000000000001
9903,3730,54.94
9902,4335,55.02
9901,4777,55.02
9900,3796,55.05000000000001
9899,1427,55.260000000000005
9898,9132,55.43
9897,1463,55.43
9896,1840,55.629999999999995
9895,8695,55.65
9894,3963,55.85
9893,5869,56.000000000000014
9892,3959,56.07000000000001
9891,6878,56.19
9890,511,56.21
9889,3350,56.21
9888,5796,56.21000000000001
9887,3278,56.290000000000006
9886,3442,56.500000000000014
9885,7104,56.56000000000001
9884,8996,56.62
9883,7842,56.62
9882,1944,56.63000000000001
9881,4564,56.660000000000004
9880,2147,56.69
9879,2021,56.71
9878,5630,56.800000000000004
9877,1313,56.84
9876,3856,56.85000000000001
9875,4134,56.88000000000001
9874,7463,56.970000000000006
9873,926,57.0
9872,8144,57.02
9871,1551,57.04
9870,587,57.04
9869,386,57.06
9868,1699,57.06
9867,2305,57.09
9866,5875,57.12
9865,2340,57.13999999999999
9864,5857,57.150000000000006
9863,7650,57.150000000000006
9862,4219,57.16
9861,42,57.190000000000005
9860,1613,57.38
9859,6574,57.41000000000001
9858,4077,57.43
9857,8396,57.43
9856,4935,57.440000000000005
9855,809,57.47
9854,678,57.47
9853,1307,57.5
9852,6230,57.50000000000001
9851,1838,57.50000000000001
9850,909,57.52
9849,2427,57.56999999999999
9848,3512,57.57000000000001
9847,3611,57.64
9846,7642,57.660000000000004
9845,7883,57.68
9844,644,57.74
9843,2337,57.74
9842,2568,57.769999999999996
9841,4326,57.79
9840,4539,57.900000000000006
9839,328,57.900000000000006
9838,7598,57.92000000000001
9837,4727,57.92000000000001
9836,6722,57.93
9835,4208,58.010000000000005
9834,5752,58.019999999999996
9833,1676,58.04
9832,803,58.07
9831,8894,58.08
9830,4171,58.08
9829,4174,58.1
9828,1022,58.1
9827,850,58.19
9826,7764,58.199999999999996
9825,9949,58.21
9824,7733,58.22000000000001
9823,3937,58.27
9822,723,58.290000000000006
9821,1125,58.330000000000005
9820,3093,58.330000000000005
9819,6664,58.34
9818,8339,58.36
9817,4230,58.360000000000014
9816,558,58.37
9815,8252,58.41000000000001
9814,4392,58.449999999999996
9813,1436,58.51
9812,1003,58.52
9811,2352,58.540000000000006
9810,1408,58.58
9809,1532,58.58
9808,734,58.6
9807,3924,58.6
9806,2076,58.62
9805,2838,58.660000000000004
9804,157,58.68000000000001
9803,7494,58.7
9802,1858,58.71000000000001
9801,9127,58.71000000000001
9800,138,58.71000000000001
9799,9902,58.73
9798,447,58.73000000000001
9797,2603,58.73000000000001
9796,7255,58.839999999999996
9795,5315,58.85
9794,8833,58.85
9793,5654,58.86
9792,506,58.870000000000005
9791,1969,58.870000000000005
9790,3487,58.88000000000001
9789,4471,58.93
9788,1981,58.95
9787,4873,59.0
9786,7681,59.01
9785,3665,59.02
9784,2154,59.09
9783,917,59.09
9782,7117,59.14
9781,332,59.14000000000001
9780,2802,59.14000000000001
9779,1416,59.15
9778,7964,59.150000000000006
9777,4991,59.160000000000004
9776,171,59.17
9775,420,59.21
9774,1592,59.21
9773,2746,59.230000000000004
9772,6299,59.230000000000004
9771,2783,59.25000000000001
9770,1516,59.269999999999996
9769,1686,59.28
9768,1832,59.28
9767,2205,59.29
9766,7810,59.30000000000001
9765,9975,59.309999999999995
9764,5152,59.43
9763,1740,59.440000000000005
9762,6603,59.45000000000001
9761,2221,59.480000000000004
9760,1743,59.480000000000004
9759,7194,59.50000000000001
9758,1810,59.50000000000001
9757,906,59.55
9756,6157,59.56
9755,5151,59.57
9754,8185,59.57
9753,8449,59.64
9752,2774,59.65
9751,3621,59.650000000000006
9750,5855,59.660000000000004
9749,5437,59.67
9748,3327,59.690000000000005
9747,1628,59.69000000000001
9746,2677,59.699999999999996
9745,634,59.730000000000004
9744,7315,59.730000000000004
9743,4150,59.75000000000001
9742,234,59.77
9741,3065,59.77
9740,2917,59.78
9739,1028,59.790000000000006
9738,4663,59.790000000000006
9737,783,59.790000000000006
9736,1774,59.790000000000006
9735,871,59.790000000000006
9734,48,59.790000000000006
9733,4331,59.81000000000001
9732,2366,59.81000000000001
9731,1121,59.81000000000001
9730,2071,59.81000000000001
9729,1725,59.83
9728,828,59.900000000000006
9727,2663,59.910000000000004
9726,1132,59.910000000000004
9725,7309,59.94
9724,3312,59.940000000000005
9723,3346,59.96000000000001
9722,1184,59.98
9721,1217,59.99000000000001
9720,4636,60.02
9719,2606,60.03
9718,2630,60.040000000000006
9717,2931,60.040000000000006
9716,1033,60.040000000000006
9715,3645,60.05
9714,1456,60.050000000000004
9713,1696,60.06000000000001
9712,7222,60.07
9711,2880,60.08
9710,142,60.08
9709,1061,60.08
